iter	Passed	Remaining
0	169	169148
1	172	85956
2	174	58036
3	177	44231
4	180	35834
5	182	30224
6	184	26213
7	186	23187
8	190	21024
9	193	19148
10	195	17593
11	197	16292
12	200	15242
13	203	14308
14	206	13572
15	208	12842
16	211	12204
17	213	11626
18	215	11110
19	219	10774
20	221	10317
21	222	9906
22	224	9524
23	225	9169
24	226	8839
25	228	8542
26	229	8266
27	230	8007
28	232	7783
29	234	7575
30	235	7370
31	237	7173
32	238	6986
33	239	6811
34	241	6650
35	242	6494
36	243	6344
37	244	6202
38	247	6092
39	248	5966
40	249	5842
41	251	5726
42	252	5616
43	253	5509
44	254	5405
45	255	5306
46	257	5211
47	258	5121
48	259	5035
49	261	4962
50	262	4885
51	263	4811
52	265	4736
53	266	4663
54	267	4594
55	268	4527
56	269	4464
57	271	4405
58	272	4346
59	273	4288
60	275	4240
61	276	4189
62	278	4136
63	279	4083
64	280	4033
65	281	3985
66	282	3938
67	284	3893
68	285	3848
69	286	3805
70	287	3766
71	289	3728
72	290	3692
73	292	3654
74	293	3616
75	294	3580
76	295	3543
77	296	3507
78	297	3473
79	299	3440
80	300	3407
81	301	3375
82	302	3338
83	303	3307
84	304	3280
85	306	3256
86	307	3228
87	308	3201
88	310	3174
89	311	3148
90	312	3122
91	313	3096
92	314	3071
93	316	3046
94	317	3022
95	318	2998
96	319	2977
97	321	2960
98	322	2938
99	324	2916
100	325	2895
101	326	2874
102	327	2853
103	328	2832
104	330	2813
105	331	2794
106	332	2776
107	333	2758
108	335	2745
109	337	2729
110	338	2711
111	339	2695
112	341	2678
113	342	2660
114	343	2643
115	344	2627
116	345	2609
117	346	2593
118	348	2577
119	349	2561
120	351	2550
121	352	2535
122	353	2521
123	355	2508
124	356	2495
125	357	2481
126	358	2466
127	359	2452
128	361	2438
129	362	2424
130	363	2411
131	365	2401
132	366	2391
133	368	2379
134	369	2368
135	370	2356
136	372	2344
137	373	2332
138	374	2320
139	375	2308
140	376	2296
141	377	2282
142	378	2270
143	380	2262
144	382	2252
145	383	2242
146	384	2233
147	386	2223
148	387	2215
149	389	2207
150	390	2197
151	392	2188
152	393	2178
153	395	2170
154	396	2161
155	397	2152
156	398	2142
157	400	2132
158	401	2122
159	402	2112
160	403	2100
161	404	2091
162	405	2082
163	406	2073
164	407	2064
165	409	2055
166	410	2047
167	411	2039
168	413	2031
169	414	2023
170	415	2014
171	416	2006
172	417	1997
173	419	1989
174	420	1980
175	421	1973
176	422	1965
177	424	1958
178	425	1952
179	426	1944
180	427	1936
181	429	1928
182	430	1921
183	431	1913
184	432	1905
185	433	1898
186	434	1890
187	436	1883
188	437	1876
189	438	1869
190	440	1863
191	441	1857
192	442	1849
193	443	1842
194	444	1836
195	445	1829
196	447	1822
197	448	1815
198	449	1808
199	450	1802
200	451	1796
201	453	1789
202	454	1784
203	455	1779
204	457	1772
205	458	1766
206	459	1759
207	460	1753
208	461	1747
209	462	1741
210	464	1735
211	465	1729
212	466	1724
213	467	1718
214	469	1712
215	470	1708
216	472	1703
217	473	1697
218	474	1691
219	475	1686
220	476	1680
221	477	1675
